PM2_5,NO2,CO,SO2,O3,AQI
57.77,41.58,0.89,5.62,24.99,119.0
51.59,45.04,0.88,9.79,53.05,119.0
115.47,55.94,0.0,55.61,51.68,236.0
15.41,16.07,0.16,5.01,31.8,62.0
22.79,33.52,0.94,8.76,22.78,98.0
73.11,49.76,0.5,46.17,56.15,130.0
9.17,10.48,0.04,4.37,34.2,53.0
104.57,49.02,1.3,10.78,16.94,245.0
144.45,31.96,1.38,11.93,29.91,314.0
70.46,25.47,0.12,7.7,58.83,145.0
190.45,56.83,1.83,17.59,31.62,377.0
74.79,39.18,0.8,24.61,61.72,145.0
77.96,59.92,0.06,31.01,40.77,139.0
282.76,78.48,2.51,24.51,131.34,425.0
71.81,47.8,0.65,15.7,32.72,133.0
76.95,43.73,1.16,11.13,36.79,159.0
115.96,55.44,1.61,17.96,44.92,253.0
39.8,21.46,0.87,10.38,18.88,112.0
62.72,8.56,0.58,6.65,41.84,114.0
74.82,48.23,1.43,7.31,40.41,156.0
17.35,11.78,0.12,4.84,32.33,65.0
48.09,37.19,0.95,2.95,21.01,129.0
40.68,42.42,0.15,4.93,44.74,107.0
39.7,40.56,1.18,10.52,12.79,83.0
31.17,20.4,1.32,9.71,31.94,130.0
39.0,14.96,0.48,10.16,4.84,44.0
26.6,20.04,0.63,8.42,28.8,54.0
19.9,14.33,0.37,3.5,19.35,50.0
48.86,19.64,0.78,12.42,37.77,99.0
19.35,16.68,0.37,8.56,23.02,68.0
10.75,35.0,0.27,2.6,8.26,59.0
56.96,53.42,0.92,2.97,13.15,150.0
130.16,35.33,1.32,11.9,42.04,286.0
55.6,49.58,0.57,16.51,33.69,108.0
79.44,38.43,0.96,12.59,34.64,179.0
20.75,21.48,0.72,10.49,40.04,56.0
62.88,70.47,1.48,15.37,60.23,124.0
28.55,24.4,0.71,10.31,22.44,96.0
33.26,28.9,0.5,5.59,40.01,91.0
21.2,11.63,0.3,13.31,53.87,73.0
37.23,13.23,0.53,13.54,46.31,78.0
37.57,23.9,0.7,3.16,40.94,111.0
48.34,10.22,1.08,5.22,39.26,106.0
150.79,47.38,1.51,16.32,47.92,330.0
12.25,10.86,0.4,10.8,14.86,32.0
38.88,40.69,0.4,5.26,23.6,99.0
149.67,47.55,1.16,14.39,35.72,315.0
42.06,27.63,1.06,9.96,26.15,89.0
103.57,67.56,1.74,31.92,40.03,219.0
65.14,51.92,0.73,9.02,34.67,109.0
41.75,17.35,0.86,17.6,58.96,105.0
29.87,6.05,0.75,11.15,28.03,133.0
54.54,41.71,0.01,3.5,14.76,131.0
153.07,42.2,10.88,5.81,19.02,319.0
59.91,63.27,1.05,16.63,39.62,131.0
174.4,56.48,1.61,14.83,31.92,328.0
60.86,11.42,0.99,8.48,52.28,113.0
44.75,18.43,0.68,9.39,12.34,99.0
21.76,8.27,0.36,5.5,48.86,73.0
18.82,9.31,0.3,10.6,17.01,30.0
187.97,64.15,1.65,19.2,54.02,348.0
93.95,105.22,1.81,20.78,39.9,190.0
123.19,48.33,1.21,12.49,38.4,248.0
18.35,4.55,0.51,8.83,27.24,59.0
62.11,12.12,0.61,5.04,23.21,96.0
35.95,12.61,0.55,17.88,38.71,66.0
10.38,12.42,0.18,5.66,32.42,62.0
149.58,37.84,9.44,3.66,26.83,318.0
81.47,46.9,0.07,9.63,96.49,224.0
43.21,53.06,1.12,6.84,39.79,134.0
150.96,47.6,1.85,10.26,54.01,334.0
52.28,53.5,0.82,13.07,29.39,113.0
43.34,12.79,0.53,8.76,70.79,113.0
20.4,15.21,0.44,3.49,16.42,53.0
132.55,37.57,1.18,10.48,19.53,279.0
80.73,46.49,0.21,40.3,51.85,165.0
21.2,9.14,0.47,10.27,12.37,56.0
34.26,28.4,0.94,8.79,32.51,98.0
64.1,44.84,0.62,16.12,36.78,131.0
81.05,69.86,1.19,3.83,46.84,172.0
23.98,17.26,0.76,8.5,43.57,102.0
173.37,17.14,1.22,6.56,31.91,134.0
29.75,28.18,0.9,11.43,25.33,91.0
24.18,10.04,0.8,10.71,16.33,54.0
77.72,79.22,1.44,10.0,23.22,152.0
30.74,46.97,0.69,31.92,6.92,107.0
22.42,13.42,0.49,10.37,41.96,171.0
23.0,13.92,0.61,13.91,34.83,74.0
56.53,18.53,0.39,4.97,31.05,142.0
121.54,20.89,1.8,6.0,23.6,311.0
35.5,19.29,0.59,17.83,49.82,106.0
22.75,37.72,0.79,25.13,32.89,84.0
89.82,54.67,1.35,21.42,40.41,234.0
95.29,50.6,1.19,8.18,23.25,214.0
25.1,30.18,0.48,13.46,13.69,56.0
84.41,29.71,0.83,32.97,27.53,147.0
26.72,12.54,0.58,10.48,36.15,478.0
43.74,28.64,0.63,8.71,32.89,97.0
33.08,18.83,0.72,8.98,23.63,92.0
42.76,31.19,0.92,9.7,68.57,175.0
46.89,8.97,0.57,7.86,36.5,140.0
207.23,59.91,2.26,12.35,32.47,352.0
54.89,38.02,0.01,3.8,26.42,114.0
151.6,67.0,5.51,9.13,33.92,303.0
23.4,25.37,0.52,3.43,21.95,54.0
46.24,34.82,1.11,9.66,31.83,111.0
54.91,0.71,1.15,7.07,38.74,106.0
39.38,36.34,0.66,41.44,31.44,86.0
63.33,41.67,1.06,30.31,27.79,98.0
48.62,23.86,0.59,5.85,19.21,104.0
277.48,53.73,1.52,12.43,68.68,439.0
80.83,16.65,1.21,8.87,34.37,218.0
26.67,37.36,0.74,11.76,41.97,74.0
25.36,20.61,0.65,22.54,20.53,79.0
27.66,18.32,0.39,1.7,24.38,61.0
34.68,28.48,0.64,6.41,46.07,84.0
7.61,11.6,0.17,3.95,40.17,82.0
15.52,15.11,0.42,13.67,23.72,57.0
50.5,19.0,0.81,7.07,65.41,135.0
27.98,18.31,0.51,8.71,34.54,79.0
57.94,20.66,0.0,6.3,24.7,144.0
64.0,30.05,1.06,12.9,43.37,152.0
45.48,25.17,0.49,11.54,47.41,97.0
10.24,19.1,0.81,7.67,16.51,67.0
61.85,77.27,1.53,19.86,58.88,122.0
95.07,38.05,1.03,17.6,52.66,333.0
45.61,45.86,0.94,3.4,15.74,127.0
20.82,14.19,0.54,15.31,38.52,59.0
40.96,14.19,0.46,7.42,22.03,110.0
30.6,24.63,1.71,11.64,24.36,99.0
9.59,7.91,0.34,8.2,22.66,42.0
15.8,22.73,0.36,6.36,22.25,49.0
70.98,37.89,0.83,7.43,50.02,143.0
68.4,11.06,0.76,18.33,48.09,163.0
118.57,76.46,6.58,21.81,76.14,365.0
58.75,36.98,0.99,8.62,40.18,127.0
49.14,51.13,0.9,10.1,31.15,122.0
19.24,20.06,0.43,1.5,19.79,54.0
143.69,62.47,1.3,26.0,42.56,313.0
63.35,24.35,0.06,5.02,40.66,111.0
174.03,41.44,1.45,4.39,9.84,271.0
13.33,22.14,0.63,8.09,17.0,48.0
51.09,21.66,0.83,13.82,74.28,138.0
78.83,0.81,0.54,9.74,34.1,148.0
26.93,15.83,0.64,14.08,53.53,123.0
11.66,17.79,0.32,6.65,13.69,42.0
30.21,15.3,0.65,12.1,62.46,109.0
97.06,31.61,0.96,14.65,33.36,198.0
7.45,7.66,0.27,11.94,22.68,27.0
84.11,38.32,0.69,6.29,35.3,181.0
42.54,51.99,0.71,23.47,15.38,121.0
21.78,5.53,0.34,3.9,27.39,50.0
24.21,19.64,0.63,8.1,13.73,86.0
39.34,39.76,0.89,5.25,16.05,96.0
13.63,21.57,0.79,7.08,43.57,56.0
59.75,44.99,0.63,10.93,29.88,126.0
10.5,22.41,0.52,20.41,27.52,44.0
34.91,27.6,0.56,3.6,24.66,67.0
17.39,20.41,0.46,4.27,22.57,55.0
191.47,54.37,1.72,22.47,64.8,365.0
67.27,33.59,0.88,9.64,43.19,170.0
51.84,51.24,0.81,17.02,41.68,110.0
38.07,19.72,0.38,4.27,33.8,74.0
66.47,37.0,1.2,10.04,42.49,131.0
57.41,33.59,0.75,7.1,26.98,126.0
68.93,45.86,1.07,14.93,41.73,162.0
46.9,25.81,0.94,15.78,51.77,112.0
22.69,22.43,0.64,4.27,27.21,67.0
26.35,35.91,0.09,6.47,53.11,93.0
27.7,38.3,0.96,11.82,15.39,93.0
29.66,25.94,0.6,3.81,17.4,125.0
9.53,12.87,0.43,11.18,43.5,63.0
58.07,29.67,0.7,13.2,60.14,128.0
62.56,24.96,5.52,12.94,27.98,229.0
12.8,12.2,0.35,9.88,17.36,46.0
103.45,48.54,1.44,11.26,44.45,235.0
45.69,14.34,0.76,7.01,10.43,95.0
104.45,30.92,0.25,6.57,29.67,208.0
22.91,21.71,0.26,7.86,15.94,60.0
63.3,38.86,0.24,15.45,38.61,166.0
55.92,31.36,1.09,18.99,62.56,149.0
68.82,71.81,1.4,10.81,24.79,163.0
121.65,55.49,1.55,17.74,41.32,296.0
25.53,25.93,0.96,8.65,26.21,83.0
35.02,21.04,0.74,6.28,41.37,80.0
42.11,37.91,1.1,10.75,28.23,117.0
80.8,10.44,0.3,12.54,7.82,196.0
36.92,23.69,0.94,10.12,17.9,114.0
13.9,13.56,0.14,5.01,27.6,53.0
23.96,19.92,0.6,10.31,24.77,85.0
124.14,6.46,1.06,6.89,33.14,189.0
24.11,9.81,0.45,8.19,30.44,78.0
495.9,81.67,2.37,15.68,86.62,677.0
18.18,22.68,0.3,5.38,23.37,65.0
16.0,5.25,0.83,12.05,24.57,80.0
44.21,34.37,0.07,5.86,31.73,111.0
